rank	score	title	company	source	location	salary	url	apply_url	matched_terms	rationale	outreach_message
1	13.0	Senior Software Engineer, AWS Commercial Application Services	Amazon Development Center U.S., Inc.	company:amazon	Seattle, Washington, USA		https://www.amazon.jobs/en/jobs/10438670/senior-software-engineer-aws-commercial-application-services	https://account.amazon.jobs/jobs/10438670/apply	software engineer, agentic, agents, llm, research, security	Matched software engineer, agentic, agents, llm, research, security	Hi Amazon Development Center U.S., Inc. team, I'm Zhikai Chen, a research Scientist. My recent work on software engineer, agentic and agents lines up closely with your Senior Software Engineer, AWS Commercial Application Services opening. I'd love to connect and share how I could contribute. Portfolio: https://github.com/CurryTang
2	10.0	Sr. Applied Scientist, Amazon B2B Payments and Lending, Credit and Fraud Science	Amazon.com LLC	company:amazon	New York, New York, USA		https://www.amazon.jobs/en/jobs/10398088/sr-applied-scientist-amazon-b2b-payments-and-lending-credit-and-fraud-science	https://account.amazon.com/jobs/10398088/apply	applied scientist, agentic, machine learning, research, python, aging posting	Matched applied scientist, agentic, machine learning, research, python, aging posting	Hi Amazon.com LLC team, I'm Zhikai Chen, a research Scientist. My recent work on agentic, machine learning and research lines up closely with your Sr. Applied Scientist, Amazon B2B Payments and Lending, Credit and Fraud Science opening. I'd love to connect and share how I could contribute. Portfolio: https://github.com/CurryTang
3	9.0	Sr. Manager Applied Science, MLA	Amazon.com Services LLC	company:amazon	Seattle, Washington, USA		https://www.amazon.jobs/en/jobs/3092519/sr-manager-applied-science-mla	https://account.amazon.com/jobs/3092519/apply	agentic, llm, machine learning, research, deep learning, python, stale posting	Matched agentic, llm, machine learning, research, deep learning, python, stale posting	Hi Amazon.com Services LLC team, I'm Zhikai Chen, a research Scientist. My recent work on agentic, llm and machine learning lines up closely with your Sr. Manager Applied Science, MLA opening. I'd love to connect and share how I could contribute. Portfolio: https://github.com/CurryTang
4	8.0	Software Development Engineer II, AWS AI & Strategic Partner Engineering	Amazon Development Center U.S., Inc.	company:amazon	Santa Clara, California, USA		https://www.amazon.jobs/en/jobs/10436843/software-development-engineer-ii-aws-ai-strategic-partner-engineering	https://account.amazon.jobs/jobs/10436843/apply	agentic, agents, llm, security	Matched agentic, agents, llm, security	Hi Amazon Development Center U.S., Inc. team, I'm Zhikai Chen, a research Scientist. My recent work on agentic, agents and llm lines up closely with your Software Development Engineer II, AWS AI & Strategic Partner Engineering opening. I'd love to connect and share how I could contribute. Portfolio: https://github.com/CurryTang
